name,domain,country
Harvard University,harvard.edu,us
Stanford University,stanford.edu,us
Massachusetts Institute of Technology,web.mit.edu,us
University of California Berkeley,berkeley.edu,us
University of Washington,washington.edu,us
University of Michigan,umich.edu,us
University of Oxford,ox.ac.uk,uk
(2) Johns Hopkins University,jhu.edu,us
Columbia University New York,columbia.edu,us
Cornell University,cornell.edu,us
University of Pennsylvania,upenn.edu,us
University of Cambridge,cam.ac.uk,uk
University of California Los Angeles UCLA,ucla.edu,us
Yale University,yale.edu,us
University of Wisconsin Madison,wisc.edu,us
University of California San Diego,ucsd.edu,us
University of Minnesota System,umn.edu,us
UCL University College London,ucl.ac.uk,uk
University of Toronto,utoronto.ca,ca
(2) Pennsylvania State University,psu.edu,us
Princeton University,princeton.edu,us
University of Texas Austin,utexas.edu,us
University of Chicago,uchicago.edu,us
New York University,nyu.edu,us
Northwestern University,northwestern.edu,us
University of North Carolina Chapel Hill,unc.edu,us
University of British Columbia,ubc.ca,ca
University of Illinois Urbana Champaign,illinois.edu,us
University of Southern California,usc.edu,us
University of Florida,ufl.edu,us
Ohio State University,osu.edu,us
University of California Irvine,uci.edu,us
University of Maryland College Park,umd.edu,us
(2) California Institute of Technology Caltech,caltech.edu,us
Tsinghua University / 清华大学,tsinghua.edu.cn,cn
Purdue University,purdue.edu,us
Carnegie Mellon University,cmu.edu,us
Michigan State University,msu.edu,us
Washington University Saint Louis,wustl.edu,us
University of Pittsburgh,pitt.edu,us
Imperial College London,imperial.ac.uk,uk
University of Hong Kong,hku.hk,hk
University of Edinburgh,ed.ac.uk,uk
University of Arizona,arizona.edu,us
Boston University,bu.edu,us
Rutgers The State University of New Jersey,rutgers.edu,us
University of Melbourne,unimelb.edu.au,au
University of California San Francisco,ucsf.edu,us
University of Colorado Boulder,colorado.edu,us
Arizona State University,asu.edu,us
National University of Singapore,nus.edu.sg,sg
Peking University / 北京大学,pku.edu.cn,cn
University of New South Wales,unsw.edu.au,au
University of Queensland,uq.edu.au,au
Texas A&M University,tamu.edu,us
Georgia Institute of Technology,gatech.edu,us
McGill University,mcgill.ca,ca
University of Virginia,virginia.edu,us
Vanderbilt University,vanderbilt.edu,us
Utrecht University / Universiteit Utrecht,uu.nl,nl
University of Utah,utah.edu,us
University of Manchester,manchester.ac.uk,uk
University of Sydney,sydney.edu.au,au
University of Amsterdam / Universiteit van Amsterdam,uva.nl,nl
University of Tokyo / 東京大学,u-tokyo.ac.jp,jp
University of Alberta,ualberta.ca,ca
University of California Santa Barbara,ucsb.edu,us
(2) Universidade de São Paulo USP,usp.br,br
King's College London,kcl.ac.uk,uk
North Carolina State University,ncsu.edu,us
Brown University,brown.edu,us
University of Copenhagen / Københavns Universitet,ku.dk,dk
Monash University,monash.edu,au
University of Iowa,uiowa.edu,us
Australian National University,anu.edu.au,au
Indiana University Bloomington,indiana.edu,us
Duke University,duke.edu,us
Virginia Polytechnic Institute and State University,vt.edu,us
Catholic University of Leuven,kuleuven.be,be
Shanghai Jiao Tong University / 上海交通大学,sjtu.edu.cn,cn
Zhejiang University (National Che Kiang University) / 浙江大学,zju.edu.cn,cn
University of Groningen / Rijksuniversiteit Groningen,rug.nl,nl
University of Helsinki / Helsingin yliopisto,helsinki.fi,fi
University of Waterloo,uwaterloo.ca,ca
Tufts University,tufts.edu,us
University of Oslo / Universitetet i Oslo,uio.no,no
Technische Universität München,tum.de,de
University of Rochester,rochester.edu,us
City University of New York,cuny.edu,us
Ghent University / Universiteit Gent,ugent.be,be
Iowa State University,iastate.edu,us
Nanyang Technological University,ntu.edu.sg,sg
University of Massachusetts Amherst,umass.edu,us
University of Georgia,uga.edu,us
University of Leeds,leeds.ac.uk,uk
Ludwig Maximilians Universität München,uni-muenchen.de,de
Kyoto University / 京都大学,kyoto-u.ac.jp,jp
Ruprecht Karls Universität Heidelberg,uni-heidelberg.de,de
University of Calgary,ucalgary.ca,ca
Uppsala University / Uppsala Universitet,uu.se,se
Oregon State University,oregonstate.edu,us
University of Maryland Baltimore,umaryland.edu,us
Universität Zürich,uzh.ch,ch
University of Adelaide,adelaide.edu.au,au
University of Delaware,udel.edu,us
University of Warwick,warwick.ac.uk,uk
University of Illinois Chicago,uic.edu,us
University at Buffalo,buffalo.edu,us
Chinese University of Hong Kong,cuhk.edu.hk,hk
Lund University / Lunds Universitet,lu.se,se
University of Nottingham,nottingham.ac.uk,uk
Delft University of Technology TU Delft,tudelft.nl,nl
Colorado State University,colostate.edu,us
Università di Bologna (Università degli Studi di Bologna),unibo.it,it
Rice University,rice.edu,us
Florida State University,fsu.edu,us
University of Nebraska Lincoln,unl.edu,us
Fudan University (Shanghai Medical University) / 复旦大学,fudan.edu.cn,cn
Aarhus University / Aarhus Universitet,au.dk,dk
University of Tennessee Knoxville,utk.edu,us
Dartmouth College,home.dartmouth.edu,us
Eidgenössische Technische Hochschule ETH Zürich / Swiss Federal Institute of Technology Zurich,ethz.ch,ch
Bristol University,bristol.ac.uk,uk
(2) Tel Aviv University,tau.ac.il,il
National Taiwan University,ntu.edu.tw,tw
Universitat de Barcelona,ub.edu,es
(1) Seoul National University / 서울대학교,snu.ac.kr,kr
University of California Riverside,ucr.edu,us
VU University of Amsterdam / Vrije Universiteit Amsterdam,vu.nl,nl
University of Miami,miami.edu,us
University of Science & Technology of China / 中国科学技术大学,ustc.edu.cn,cn
University of Kentucky,uky.edu,us
University of Western Australia,uwa.edu.au,au
George Washington University,gwu.edu,us
Simon Fraser University,sfu.ca,ca
Temple University,temple.edu,us
University of Connecticut,uconn.edu,us
University of California Santa Cruz,ucsc.edu,us
University of Glasgow,gla.ac.uk,uk
Università degli Studi di Roma La Sapienza,uniroma1.it,it
McMaster University,mcmaster.ca,ca
University of Sheffield,sheffield.ac.uk,uk
Newcastle University Newcastle upon Tyne,ncl.ac.uk,uk
(2) Universidad Nacional Autónoma de México,unam.mx,mx
University of Kansas,ku.edu,us
University of South Florida,usf.edu,us
Georgetown University,georgetown.edu,us
Washington State University Pullman,wsu.edu,us
Universität Wien,univie.ac.at,at
University of Notre Dame,nd.edu,us
Université de Geneve,unige.ch,ch
Case Western Reserve University,case.edu,us
Karlsruhe Institute of Technology (Universität Karlsruhe),kit.edu,de
Karolinska Institute / Karolinska Institutet,ki.se,se
University of New Mexico,unm.edu,us
Universität Hamburg,uni-hamburg.de,de
University of Auckland,auckland.ac.nz,nz
University of Missouri Columbia,missouri.edu,us
Università degli Studi di Padova,unipd.it,it
Rheinisch Westfalische Technische Hochschule Aachen,rwth-aachen.de,de
Rheinische Friedrich Wilhelms Universität Bonn,uni-bonn.de,de
Université de Montréal,umontreal.ca,ca
Wageningen University & Research Centre,wur.nl,nl
Royal Institute of Technology / Kungliga Tekniska Högskolan,kth.se,se
Università degli Studi di Milano,unimi.it,it
Wuhan University / 武汉大学,whu.edu.cn,cn
University of Exeter,exeter.ac.uk,uk
University of Alabama Birmingham,uab.edu,us
Nanjing University / 南京大学,nju.edu.cn,cn
Western University (University of Western Ontario),uwo.ca,ca
Technical University of Denmark / Danmarks Tekniske Universitet,dtu.dk,dk
Queen Mary University of London,qmul.ac.uk,uk
George Mason University,gmu.edu,us
University of Gothenburg / Göteborgs Universitet,gu.se,se
Universität Bern,unibe.ch,ch
University of Cincinnati,uc.edu,us
University of Houston,uh.edu,us
University of Oregon,uoregon.edu,us
City University of Hong Kong,cityu.edu.hk,hk
London School of Economics and Political Science,lse.ac.uk,uk
University of Bergen / Universitetet i Bergen,uib.no,no
Northeastern University,northeastern.edu,us
M D Anderson Cancer Center University of Texas,mdanderson.org,us
Charles University in Prague / Univerzita Karlova v Praze UK,cuni.cz,cz
Freie Universität Berlin,fu-berlin.de,de
(2) Universidad Complutense de Madrid,ucm.es,es
University of York,york.ac.uk,uk
(1) Norwegian University of Science & Technology / Norges Teknisk-Naturvitenskapelige Universitet,ntnu.no,no
Universidade do Porto,up.pt,pt
Emory University,emory.edu,us
